District,Sex Ratio (females every 1000 males),Total_Positives,total_deaths,male_deaths,female_deaths,Male cases (in data),Female cases (in data),Estimated Male cases,Estimated Female Cases,Male Mortality,Female Mortality,State,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
Bangalore,898,94106,299,196,103,14096,8401,39172.03197,23345.9308,0.00500357,0.004411904,KA,14,8.7,32,26.1,39.6,20.5,8.3,10.9,0.4,0.7
Bellary,952,15180,31,23,8,1396,634,6935.034971,3149.57892,0.003316494,0.002540022,KA,23.6,18.4,18.9,20.9,49.9,20,4,6.5,0.6,2.5
Mysore,1008,11489,55,37,18,822,445,4951.820981,2680.730336,0.007471999,0.006714588,KA,19.1,10.2,29.3,20.2,45.6,9.1,5.9,7.3,0.5,1.2
Dakshina Kannada,1032,9296,43,32,11,1686,899,4027.918193,2147.745228,0.007944551,0.00512165,KA,25.6,21.8,26,20.4,45.4,15.7,5.5,9,1.4,1
Gulbarga,989,9265,27,16,11,1219,774,3764.690985,2390.378033,0.004250017,0.004601783,KA,22.5,20.5,14.8,18.8,43.1,14.9,3.6,8.5,0.4,0.4
Udupi,1137,8663,13,10,3,1129,549,3872.200202,1882.938805,0.002582511,0.001593254,KA,27.6,18.4,20.7,22.5,44.7,13.2,5.6,9.3,0.7,3.3
Belgaum,960,8360,31,26,5,468,241,3666.00792,1887.837412,0.007092183,0.002648533,KA,20.6,17.5,20.7,27.5,41.2,17.3,6,9,0.3,0
Dharwad,957,8134,34,22,12,960,553,3428.656493,1975.049001,0.006416507,0.006075799,KA,16,13.2,29.4,30.3,45.9,18.3,8.6,8.7,0.7,1.7
Davanagere,951,5798,23,16,7,361,261,2235.540446,1616.277165,0.007157106,0.00433094,KA,22.7,18.5,25.8,20.1,46.9,18.9,6.5,13.2,1.3,2.4
Raichur,1036,5370,14,8,6,422,272,2169.275792,1398.206197,0.003687867,0.004291213,KA,20.8,9.3,19.8,27.6,58.7,24.1,5.8,8.2,0.6,1.8
Bijapur,966,5040,6,6,0,786,399,2220.865388,1127.385865,0.00270165,0,KA,19.5,11.4,18,16.2,41.9,20.5,3.9,5.4,0.7,0.8
Hassan,1077,5019,29,20,9,489,272,2142.539817,1191.760389,0.009334716,0.007551854,KA,18.4,18.3,27.9,28.7,47,24.5,8.8,6.8,1,3.4
Bagalkot,963,4485,12,8,4,340,178,1955.685916,1023.859097,0.004090636,0.003906788,KA,21.3,19.3,16.6,13.6,40.8,13.5,4,4.2,0.7,1.2
Shimoga,1041,4436,12,7,5,368,221,1841.244934,1105.747637,0.003801776,0.004521827,KA,22.7,31.1,24.8,15.5,48.6,21.8,9,5.9,1.5,3.4
Yadgir,977,4013,3,2,1,759,467,1650.47127,1015.507356,0.001211775,0.000984729,KA,27.4,17.5,12.9,10.9,47.7,13.8,6.8,8.4,0.6,1.5
