State_Code,State,District,Confirmed,Active,Recovered,Deceased,"Sex ratio of the total population (females per 1,000 males)",Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
MH,Maharashtra,Pune,134913,39971,91606,3336,924,17.8,10.7,30.2,33.4,50,17.4,4.6,4,0.2,1.1
MH,Maharashtra,Mumbai,130410,17693,105193,7222,906,17.8,14.9,34,37.9,49.4,23,11.8,14,0.2,0
TN,Tamil Nadu,Chennai,119059,12106,104455,2498,1032,9.4,4.3,33.6,31.3,53.9,10.1,9.7,9.3,0.4,3
MH,Maharashtra,Thane,115923,19541,92981,3400,922,21.4,13.1,29,27.4,48.4,17.1,4.1,4.5,0.6,0
KA,Karnataka,Bangalore,94106,33081,59492,1532,898,14,8.7,32,26.1,39.6,20.5,8.3,10.9,0.4,0.7
TG,Telangana,Hyderabad,46262,45934,305,23,934,12.9,19.6,47.9,33.7,54,5.3,9,8.3,0.8,4.6
AP,Andhra Pradesh,East Godavari,42600,15254,27056,290,927,15.9,12.8,36.4,28,64.6,34.3,7.1,12.9,0.6,2.9
AP,Andhra Pradesh,Kurnool,34782,6872,27604,306,1021,21.6,13.6,24.9,31.7,54.5,26.6,5.2,2.4,0.8,2
WB,West Bengal,Kolkata,33467,6371,25986,1110,921,7.3,17.2,40.7,42.8,46.4,24.6,8.5,22.2,1.1,0.5
AP,Andhra Pradesh,Anantapur,30507,5051,25218,238,1000,20.2,20.2,26.5,28.8,52.7,22.6,6.9,8.9,0.9,3.9
GJ,Gujarat,Ahmadabad,29327,3419,24242,1666,904,21.5,25.9,30.7,26.4,62.9,26.9,6,5.4,0.4,0.5
MH,Maharashtra,Nashik,27850,10013,17144,693,1000,25.8,16.8,22.9,23.7,54.7,16.4,4.7,6.1,0.3,0
AP,Andhra Pradesh,Guntur,27810,7920,19584,306,1015,11.3,15.4,45.1,39,57.9,24.9,9.3,19,0.9,0
AP,Andhra Pradesh,Visakhapatnam,26255,5797,20242,216,1047,18.9,12.1,28.8,29,66.4,28.2,6.6,7.4,1.4,1.7
WB,West Bengal,North Twenty Four Parganas,25904,5607,19717,580,981,11.5,17.4,28.9,16.5,62.7,30,11.2,13,0.7,1.5
AP,Andhra Pradesh,West Godavari,25111,5359,19544,208,1020,14.5,15.3,40,41.3,59.9,19.2,7.6,9.9,0.9,0
AP,Andhra Pradesh,Chittoor,24907,9366,15284,257,1079,21,16.8,28.5,30.8,48.8,20.3,9,8.9,0.1,0
MH,Maharashtra,Raigarh,24049,4985,18413,649,924,21.8,18.5,27.3,21.4,53.1,13.3,6.3,11.1,0.7,0
AS,Assam,Kamrup Metropolitan,23282,8628,14599,55,964,17.3,14.2,26.3,26.5,53.8,23.7,6.5,4.3,1.3,1.7
TN,Tamil Nadu,Thiruvallur,20618,3959,16313,346,980,11.3,9.2,32.3,32,55.1,24,6.2,8.1,0.2,0.3
MH,Maharashtra,Aurangabad,18954,5929,12447,578,923,21.5,30.4,23.2,16.6,45,17.5,4.5,4.8,1,0
MH,Maharashtra,Jalgaon,18766,5390,12673,703,914,18.9,14,23.8,19.5,51.7,28.2,4.5,3.6,0.9,1.8
AP,Andhra Pradesh,Sri Potti Sriramulu Nellore,18329,5201,12973,155,1039,17,17.5,35,32,59.1,41.3,9.5,6.3,1.1,2
UP,Uttar Pradesh,Lucknow,18204,7170,10806,228,919,14.7,14.3,22.5,18.1,58.4,22.9,5.1,6.6,0.8,0.6
AP,Andhra Pradesh,Y.S.R.,18086,4456,13505,125,1034,18.7,11.3,27,40.8,57.7,18.6,8.4,18.2,0.3,1.3
GJ,Gujarat,Surat,17409,2721,14127,561,881,18.4,22.7,34.5,23.2,39,11.1,5.7,11.9,0.8,0.6
